Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP,UMLS,Fox Insight,DATATOP,PINE,UK Biobank,PostCEPT,SPARX,Rank
Prostate Cancer,HP:0012125,A cancer of the prostate.,Prostatic cancer,,,,,history_prostate,history_prostate,35822937,C0367358,FIVECancerHxTypePro,,,,,,1
Breast Cancer,MONDO:0007254,A primary or metastatic malignant neoplasm involving the breast. The vast majority of cases are carcinomas arising from the breast parenchyma or the nipple. Malignant breast neoplasms occur more frequently in females than in males.,,,,,,history_breast,history_breast,35816541,C0006142,FIVECancerHxTypeBre,,,,,,1
Melanoma,NCIT:C3224,"A malignant, usually aggressive tumor composed of atypical, neoplastic melanocytes. Most often, melanomas arise in the skin (cutaneous melanomas) and include the following histologic subtypes: superficial spreading melanoma, nodular melanoma, acral lentiginous melanoma, and lentigo maligna melanoma. Cutaneous melanomas may arise from acquired or congenital melanocytic or dysplastic nevi. Melanomas may also arise in other anatomic sites including the gastrointestinal system, eye, urinary tract, and reproductive system. Melanomas frequently metastasize to lymph nodes, liver, lungs, and brain.","MELANOMA, MALIGNANT, Melanoma, Melanoma, NOS, melanoma, Malignant Melanoma",,,,,,history_melanoma,4346329,C0025202,FIVECancerHxTypeMel,,,,,,1
Thyroid Diseases,EFO:1000627,A disease involving the thyroid gland.,"disease of thyroid gland, disease or disorder of thyroid gland, disorder of thyroid gland, thyroid diseases, thyroid gland disease or disorder, thyroid gland disease, thyroid gland diseases, thyroid gland disorder, thyroid gland disorders, Thyroiditis",,,question212_212,,,,45877073,C0040128,FIVECancerHxTypeThy,,,,,thyroid,1
Head Injury ,NCIT:C34660,A traumatic injury to the head.,"Head Injury, Injury of Head",HINJNOLC,,rfqu_head1,HXHINJ,,,36311163,C0018674,Head,,,,HINJLOC,,1
Heart Rate,NCIT:C49677,"The number of heartbeats per unit of time, usually expressed as beats per minute.","Heart Rate, HR, Vital Signs - Heart Rate","HRSTND, HRSUP","HRSTND, HRSUP",,,,,4239408,C0018810,"PDMBAtrFib, PDMBTransIsc","F6000_34, F6000_36",,,,ventrate,1
Traumatic Brain Injury,NCIT:C50440,Trauma to the brain.,TBI,,,question210_210,,,,4132546,C0876926,FIVETBIHx,,,,,,1
Fall - Outpatient,,Fall resulted in outpatient visit to a healthcare provider,,FLLDRVIS,,,,,,436583,C0085639,FIVEFalls61,,,,,,1
Fall - ER,,Fall resulted in ER visit,,FLLERVIS,,,,,,436583,C0085639,FIVEFalls62,,,,,,1
Fall - Hospitilization,,Fall resulted in hospitalization,,FLLHOSP,,,,,,436583,C0085639,FIVEFalls63,,,,,,1
Fall - Institutionalization,,Fall resulted in institutionalization,,FLLINST,,,,,,436583,C0085639,FIVEFalls65,,,,,,1
Fall - Surgery,,Fall resulted in surgery,,FLLSURG,,,,,,436583,C0085639,FIVEFalls64,,,,,,1
Fall - Not Freezing,,Participant currently experiencing falls not related to freezing,,FLNFR1W,,,,,,436583,C0085639,FIVEFalls4,F2000_17,,,,,1
Freezing of Gait,HP:0031825,"Freezing of gait is defined as a brief, episodic absence or marked reduction of forward progression of the feet despite the intention to walk.",Freezing gait,FRZGT1W,NP3FRZGT,gaitlab_q11,HXFRZERL,,,40481965,C0860515,FIVEFalls3,F2000_18,,,,freezegait,1
Hip Fracture,EFO:0003964,"Traumatic or pathological injury to the hip in which the continuity of either the femoral head, femoral neck, intertrochanteric or subtrochanteric regions is broken. Symptoms include pain in the hip or groin, bruising and swelling in and around the hip area. The injured hip is turned outward and the leg appears shorter on that side.","Fractures, Hip, Fractures, Intertrochanteric, Fractures, Subtrochanteric, Fractures, Trochanteric, hip fracture, Hip Fractures, Intertrochanteric Fractures, Subtrochanteric Fractures, Trochanteric Fractures",INJFRHIP,,,,,,45763653,C00199557,FIVEFalls51,,,,,,1
Limb Fracture,NCIT:C172003,A traumatic break in one or more bones in a limb.,Limb Fracture,INJFRHIP,,,,,,,C0596838,FIVEFalls51,,,,,,
Skull Fracture,NCIT:C50745,A traumatic or pathologic injury to the bones of the skull in which the continuity of the bones of the skull is broken.,"Skull Fracture, Fracture of Skull",INJFRSKL,,,,,,4324690,C0037304,FIVEFalls53,,,,,,1
Upper Extremity Fracture,NCIT:C27782,"A traumatic break in one or more of the bones in the arm, forearm, or hand.","Upper Limb Fracture, Upper Extremity Fracture",INJFRUE,,,,,,4050747,C0178316,FIVEFalls52,,,,,,1
Psychiatric Finding,NCIT:C168404,"Symptoms, physical examination results, and/or laboratory test results related to mental health.","Psychiatric Finding, Psychiatric",,,question216_216,,,,3012907,C0552595,FIVEConditionPreclude,F1000_32,,"41151-0.0, 41151-0.1, 41151-0.2, 41151-0.3, 41151-0.4, 41151-0.5",DFPSYCH,psych,1
Nervous System Disorder,MONDO:0005071,"A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.","disease of nervous system, disease or disorder of nervous system, disorder of nervous system, nervous system disease or disorder, nervous system disease, nervous system disorder, neurologic disease, neurologic disorder, neurological disease, neurological disorder",,,question210_210,,,,3175608,C0027765,ImpactChangeThinkNeurological,,,,NPFNLDX,neurlgdisordrs,1
Cardiovascular Disease,EFO:0000319,"A body system disease which occurs in the blood, heart, blood vessels or the lymphatic system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells or lymph to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis.

A disease involving the cardiovascular system.

A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels). Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension. Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma. -- 2003

A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels). Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension. Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma.

Pathological conditions involving the CARDIOVASCULAR SYSTEM including the HEART; the BLOOD VESSELS; or the PERICARDIUM.","ASCVD, CARDIOVASC DIS, Cardiovascular Disease (CVD), cardiovascular disease (CVD), Cardiovascular disease, NOS, Cardiovascular disease, unspecified, cardiovascular disease, Cardiovascular Diseases, Cardiovascular disorder, NOS, Cardiovascular Disorder, cardiovascular disorder, Cardiovascular Disorders, cardiovascular system disease or disorder, cardiovascular system disease, Cardiovascular system disease, Certain sequelae of myocardial infarction, not elsewhere classified, CIRCULATORY DISEASE NOS, Circulatory system disease NOS (disorder), Circulatory system disease NOS, circulatory system disease, CVD, NOS, CVD, CVS disease, Disease affecting entire cardiovascular system (disorder), Disease affecting entire cardiovascular system, Disease of cardiovascular system (disorder), Disease of cardiovascular system, NOS, disease of cardiovascular system, Disease of cardiovascular system, disease of subdivision of hemolymphoid system, disease or disorder of cardiovascular system, Disease, Cardiovascular, DISEASES OF THE CIRCULATORY SYSTEM, Diseases, Cardiovascular, Disorder of cardiovascular system (disorder), disorder of cardiovascular system, Disorder of cardiovascular system, Disorder of circulatory system, NOS, Disorder of circulatory system, Disorder of the circulatory system, Ill-defined descriptions and complications of heart disease, ILL-DEFINED HRT DIS NEC, Other diseases of endocardium (disorder), Other diseases of endocardium, Other diseases of pericardium (disorder), Other diseases of pericardium, Other disorders of papillary muscle, Other forms of heart disease (disorder), Other forms of heart disease, Other heart disease (disorder), Other heart disease NOS (disorder), Other heart disease NOS, Other heart disease, Other ill-defined heart disease (disorder), Other ill-defined heart disease NOS (disorder), Other ill-defined heart disease NOS, Other ill-defined heart diseases, Other ill-defined heart disease, Other pericardial disease NOS (disorder), Other pericardial disease NOS, OTHER SEQUELAE OF MI NEC, Other sequelae of myocardial infarction, not elsewhere classified, Other specified diseases of pericardium, Other specified pericardial disease NOS (disorder), Other specified pericardial disease NOS, PAPILLARY MUSCLE DIS NEC, PERICARDIAL DISEASE NEC, Unspecified circulatory system disorder, [X]Cardiovascular disease, unspecified (disorder), [X]Cardiovascular disease, unspecified, [X]Other forms of heart disease (disorder), [X]Other forms of heart disease, [X]Other ill-defined heart diseases (disorder), [X]Other ill-defined heart diseases, [X]Other specified diseases of pericardium (disorder), [X]Other specified diseases of pericardium",,,question214_214,,,,134057,C0007222,FIVEHeartHx,F1250_7,,,,cardiovasc,1
Metabolic Disorder,NCIT:C3235,A congenital (due to inherited enzyme abnormality) or acquired (due to failure of a metabolic important organ) disorder resulting from an abnormal metabolic process.,"Metabolic Disease, metabolic disorder, Metabolic Disorder",,,question212_212,,,,436670,C0025517,,,,,,,1
Bradykinesia,NCIT:C116707,Slow movement.,Bradykinesia,FEATBRADY,DXBRADY,question806_806,DCBRADY,present_diag_bradykinesia,x_3_3_1_brady_clin,4161417,C0233565,FIVEMDSBradykinesia,F1100_34,Bradykinesia,,DXBRADY,brdykines,1
Postural Instability,HP:0002172,"A tendency to fall or the inability to keep oneself from falling; imbalance. The retropulsion test is widely regarded as the gold standard to evaluate postural instability, Use of the retropulsion test includes a rapid balance perturbation in the backward direction, and the number of balance correcting steps (or total absence thereof) is used to rate the degree of postural instability. Healthy subjects correct such perturbations with either one or two large steps, or without taking any steps, hinging rapidly at the hips while swinging the arms forward as a counterweight. In patients with balance impairment, balance correcting steps are often too small, forcing patients to take more than two steps. Taking three or more steps is generally considered to be abnormal, and taking more than five steps is regarded as being clearly abnormal. Markedly affected patients continue to step backward without ever regaining their balance and must be caught by the examiner (this would be called true retropulsion). Even more severely affected patients fail to correct entirely, and fall backward like a pushed toy soldier, without taking any corrective steps.",Balance impairment,FEATPOSINS,DXPOSINS,,DCPOSINS,present_diag_posture,x_3_4_1_postural_clin,4167067,C1843921,TherapyMoveSympPost,F1100_36,PostInstab,,DXPOSINS,posinstblty,1
Rigidity,HP:0002063,"Continuous involuntary sustained muscle contraction. When an affected muscle is passively stretched, the degree of resistance remains constant regardless of the rate at which the muscle is stretched. This feature helps to distinguish rigidity from muscle spasticity.

Rigidity is often a manifestation of basal ganglia diseases.","Muscle rigidity, Rigidity",FEATRIGID,DXRIGID,question805_805,DCRIGID,present_diag_rigidity,x_3_2_1_rigidity_clin,46237197,C0026837,TherapyMoveSympRigid,F1100_33,Rigidity,,DXRIGID,rigidity,1
Resting Tremor,NCIT:C182454,"A movement disorder characterized by involuntary and rhythmic shaking of a body part that is relaxed and not held against gravity, and where the tremor amplitude decreases with voluntary movements. Resting tremor is a common sign of Parkinson's disease.","Resting Tremor, Rest Tremor",FEATTREMOR,DXTREMOR,question807_807,DCRTREM,present_diag_tremor,x_3_1_1_tremor_clin,4096245,C0234379,FIVEMDSResttremor,F1100_32,Tremor,,DXTREMOR,resttremor,1
Arteriolosclerosis,NCIT:C35543,The thickening of the wall of the small arteries and arterioles. It is caused by deposition of hyaline material in the wall or concentric smooth muscle wall hypertrophy. It results in lumen narrowing and tissue ischemia.,Arteriolosclerosis,ARTERIOLOSCLEROSIS,,,,,,4075751,C0003850,,,,,,,1
Cerebral Cortical Atrophy,HP:0002120,Atrophy of the cortex of the cerebrum.,"Cerebral cortex atrophy, Cortical atrophy, Decrease in size of the outer layer of the brain due to loss of brain cells",CAA,,,,,,,C4551583,,,,,,,1
Chronic Traumatic Encephalopathy,NCIT:C35542,Encephalopathy resulting from trauma.,Traumatic Encephalopathy,CTE,,,,,,4047745,C4082769,,,,,,,1
Glial Cytoplasmic Inclusions (GCI),GO:0097409,Non-membrane-bound cytoplasmic inclusions composed of 10-40 nm granule-coated fibrils. These inclusions have an abnormal accumulation of alpha-synuclein protein and are found in association with multiple system atrophy.,,GCI,,,,,,,C3548440,,,,,,,1
Hippocampal Atrophy,HP:0410170,Partial or complete wasting (loss) of hippocampus tissue that was once present.,"Atrophy of the hippocampus, Degeneration of the hippocampus",HIPPOCAMPAL_ATROPHY,,,,,,,C4315130,,,,,,,1
Action Tremor,NCIT:C183162,"A tremor that occurs with the voluntary movement of a muscle. Subcategories include postural, kinetic, and isometric tremors.",Action Tremor,FEATACTTRM,,,,,,,C0234376,,,,,DFPATREM,,1
Alien Limb Phenomenon,HP:0032506,Alien limb phenomenon refers to involuntary motor activity of a limb in conjunction with the feeling of estrangement from that limb.,,FEATALNLMB,,question837_837,,,,4266845,C0520958,,,,,,,1
Disproportionate Anterocollis,,Forward flexion of the head and neck which is greater than expected relative to the flexed posture of the trunk and limbs.,,FEATANTCOL,,,,,,,,FIVEMDSAnterocollis,,,,,,1
Apathy,NCIT:C117197,An emotional state of indifference characterized by a lack of interest or concern.,"Apathy, Emotional Indifference",FEATAPATHY,,pspenroll_tab3_c1_1,,,,45617258,C0085632,FIVEUPDRS1_5,,,,CBQ10,apathy,1
Bowel Dysfunction,MONDO:0004880,Any disease in which the causes of the disease is a perturbation of the lower digestive tract leading to its dysfunction.,,FEATBWLDYS,,,,,,4341223,C2004461,,,,,DFBWLDYS,,1
Dysarthria,NCIT:C79549,"Slow and slurred speech resulting from inability to coordinate the muscles that are used in speech. Causes include brain damage, Parkinson disease, and developmental causes.",Dysarthria,FEATDYSART,,question262_262,,,,4196636,C0013362,FIVEMDSBulbardysfunc,,,,,,1
Dyskinesia,NCIT:C50539,Abnormality or impairment of voluntary movement.,"Dyskinesis, Dyskinesia, Dyscinesia",FEATDYSKIN,,,,,,4319906,C0013384,ImpactMoveDyskinesia,,dyskinesias,,,dyskin,1
Dysphagia,NCIT:C2980,"A symptom referring to difficulty in swallowing. It may be observed in patients with stroke, motor neuron disorders, cancer of the throat or mouth, head and neck injuries, Parkinson disease, and multiple sclerosis.","Difficulty Swallowing, dysphagia, Dysphagia, Dysphagia/ Odynophagia, Difficulty swallowing",FEATDYSPHG,,pspenroll_tab3_r3,,,,31317,C0011168,FIVEMDSBulbardysfunc,,,,DFBULBAR,,1
Dystonia,NCIT:C34563,"A movement disorder characterized by sustained or intermittent muscle contractions, resulting in abnormal movements and/or postures.",Dystonia,FEATDYSTNA,,question825_825,,,,375800,C0393593,CannEffectDystonia,F1100_41,,,DFDYSTON,dystonia,1
Supranuclear Gaze Palsy,HP:0000605,"A supranuclear gaze palsy is an inability to look in a particular direction as a result of cerebral impairment. There is a loss of the voluntary aspect of eye movements, but, as the brainstem is still intact, all the reflex conjugate eye movements are normal.",Supranuclear gaze paralysis,FEATGZEPAL,,,SGPSVSAC,,,4221473,C1720037,,,,,,,1
Inspiratory Stridor,HP:0005348,Inspiratory stridor is a high pitched sound upon inspiration that is generally related to laryngeal abnormalities.,,FEATINSPST,,,,,,4242420,C0677600,FIVEMDSRespiratory,,,,,,1
Micrographia,HP:0031908,Abnormally small sized handwriting defined formally as an impairment of a fine motor skill manifesting mainly as a progressive or stable reduction in amplitude during a writing task.,,FEATMCRGRA,,,,,,37110756,C0240341,,,,,,micrographia,1
Myoclonus,NCIT:C116924,"A rapid, involuntary jerk of a muscle or group of muscles.",Myoclonus,FEATMYCLNS,,question826_826,,,,441553,C0027066,,,,,DFMYOCLO,,1
Seborrheic Dermatitis,NCIT:C111888,"A chronic, inflammatory skin disorder that affects the scalp, central face and skin folds; it is characterized by scaling and itching.","Cradle Cap, Seborrhea, Seborrheic Eczema, Seborrheic Dermatitis",FEATSBDERM,,,,,,137053,C0036508,Derma,,,,,,1
Sexual Dysfunction,NCIT:C3347,Disturbances in sexual desire or performance.,Sexual Dysfunction,FEATSEXDYS,,,,,,36308716,C0549622,MedDepPDSympSexDysfunc,,,,DFSEXDYS,,1
Shuffling Gait,HP:0002362,A type of gait (walking) characterized by by dragging one's feet along or without lifting the feet fully from the ground.,Shuffled walk,FEATSHGAIT,,,,,,4181184,C0231688,,,,,,,1
Stooped Posture,HP:0025403,A habitual positioning of the body with the head and upper back bent forward.,,FEATSTPPOS,,,,,,,C4476759,,F2000_45,,,,stooppost,1
Broad-based Gait,HP:0002136,An abnormal gait pattern in which persons stand and walk with their feet spaced widely apart. This is often a component of cerebellar ataxia.,"Wide based gait, Wide-based gait, Broad based gait, Wide based walk",FEATWDGAIT,,,,,,,C0856863,,,,,,,1
Muscle Atrophy,NCIT:C94834,The loss of muscle tissue due to inactivity or disease.,"Muscle Atrophy, muscle wasting, Muscle Wasting",,,question828_828,,,,78236,C0026846,,,,,,,1
Hallucination,NCIT:C37961,"A false sensory perception in the absence of an external stimulus, as distinct from an illusion which is a misperception of an external stimulus.","Hallucination, hallucination, Hallucinations",,,,HXHALERL,,,433031,C0018524,MedDepPDMoodHallu,F2000_6,Hallucination,,"CBQ3_1, CBQ3_2, CBQ3_3",hallucinations,1
Asthma,NCIT:C28397,A chronic respiratory disease manifested as difficulty breathing due to the narrowing of bronchial passageways.,"Asthma, asthma",,,,,history_asthma,history_asthma,317009,C0004096,,,,22127-0.0,,,1
Chronic Bronchitis,NCIT:C26722,"A type of chronic obstructive pulmonary disease characterized by chronic inflammation in the bronchial tree that results in edema, mucus production, obstruction, and reduced airflow to and from the lung alveoli. The most common cause is tobacco smoking. Signs and symptoms include coughing with excessive mucus production, and shortness of breath.",Chronic Bronchitis,,,,,history_bronch,history_bronch,255841,C0008677,,,,22129-0.0,,,1
Pulmonary Emphysema,NCIT:C3348,"A subcategory of chronic obstructive pulmonary disease (COPD). It occurs in people who smoke and suffer from chronic bronchitis. It is characterized by inflation of the alveoli, alveolar wall damage, and reduction in the number of alveoli, resulting in difficulty breathing.","Emphysema, unspecified, Emphysema, EMPHYSEMA, Pulmonary Emphysema",,,,,history_emphysema,history_emphysema,4169883,C0034067,FIVELungHxTypeEmp,,,22128-0.0,,,1
Rheumatoid Arthritis,NCIT:C2884,"A chronic, systemic autoimmune disorder characterized by inflammation in the synovial membranes and articular surfaces. It manifests primarily as a symmetric, erosive polyarthritis that spares the axial skeleton and is typically associated with the presence in the serum of rheumatoid factor.","Rheumatoid Arthritis, rheumatoid arthritis, RA",,,,,history_arthritis,history_arthritis,80809,C0003873,FIVEArthritisHxTypeRhe,,,,,,1
Gout,NCIT:C34650,"A condition characterized by painful swelling of the joints, which is caused by deposition of urate crystals.","Gout, gout",,,,,history_gout,,440674,C0018099,,,,,,,1
