Feature,CURIE,Definition,Synonyms,PPMI,BIOFIND,LuxPARK,LCC,PRoBaND,OPDC,OMOP
MoCA - Naming (Rhino),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). Subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (rhino in this case).,"Naming, Montreal Cognitive Assessment Naming Test",MCARHINO,MCARHINO,question67_67,MCARHINO,,,
MoCA - Naming (Camel),NCIT:C162710,A subtest of Montreal Cognitive Assessment (MoCA). Subject needs to name the animal in the pictures from left to right. One point is given for each correct answer (camel in this case).,"Naming, Montreal Cognitive Assessment Naming Test",,MCACAMEL,question68_68,MCACAMEL,,,
MoCA - Digit Span Test (Forward),NCIT:C162711,"A subtest of Montreal Cognitive Assessment (MoCA). The examiner gives the following instruction: ""I am going to say some numbers and when I am through, repeat them to me exactly as I said them"" and reads the five number sequence at a rate of one digit per second. The subject will receive a point for each correctly repeated sequence.",Digit Span Forward Subtest (WAIS-IV),MCAFDS,MCAFDS,digitsf_score,MCAFDS,,,
MoCA - Digit Span Test (Backward),NCIT:C162711,A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with repeating the three-number sequence the examiner read in reverse order. The subject will receive a point for each correctly repeated sequence.,Digit Span Backward Subtest (WAIS-IV),MCABDS,MCABDS,digitsr_score,MCABDS,,,
MoCA - Vigilance,NCIT:C162712,A subtest of Montreal Cognitive Assessment (MoCA). This test involves acknowledging spoken letters.,"Montreal Cognitive Assessment Attention - Letters Test, Attention - Letters",MCAVIGIL,MCAVIGIL,question85_85,M16VIGIL,,,
MoCA - Serial 7s,NCIT:C162713,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with subtracting 7s from 100 until the examiner prompts them to stop. The subject will receive 0 points for no correct subtractions, 1 point for one correction subtraction, 2 points for two-to-three correct subtractions, and 3 points if the participant successfully makes four or five correct subtractions","Montreal Cognitive Assessment Attention - Subtraction Test, Attention - Subtraction",MCASER7,MCASER7,question91_91,MCASER7,,,
MoCA - Sentence Repetition,NCIT:C162714,A subtest of Montreal Cognitive Assessment (MoCA). This task consists of repeating two sentences correctly.,"Language - Repeat, Montreal Cognitive Assessment Language - Repeat Test",MCASNTNC,MCASNTNC,question94_94,MCASNTNC,,,
MoCA - Verbal Fluency,NCIT:C162715,"A subtest of Montreal Cognitive Assessment (MoCA). This task requires an individual to list all of the words from two sentences they can be recalled that begin with the letter ""F""..","Language - Fluency, Montreal Cognitive Assessment Language - Fluency Test",MCAVFNUM,MCAVFNUM,question95_95,MCAVFNUM,,,
MoCA - Delayed Recall (Face),NCIT:C162717,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with recalling the words the examiner gave earlier in the session. If the subject will be prompted with a category cue ('part of the body' in this case). If the subject still cannot remember the word, the instructor will give multiple choices (nose, face, hand in this case). The subject will receive points only if they can remember the word without any cue.","Delayed Recall, Montreal Cognitive Assessment Delayed Recall Test",MCAREC1,MCAREC1,question99_99,MCAREC1,,,
MoCA - Delayed Recall (Velvet),NCIT:C162717,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with recalling the words the examiner gave earlier in the session. If the subject will be prompted with a category cue ('type of fabric' in this case). If the subject still cannot remember the word, the instructor will give multiple choices (denim, cotton, velvet in this case). The subject will receive points only if they can remember the word without any cue.","Delayed Recall, Montreal Cognitive Assessment Delayed Recall Test",MCAREC2,MCAREC2,question100_100,MCAREC2,,,
MoCA - Delayed Recall (Church),NCIT:C162717,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with recalling the words the examiner gave earlier in the session. If the subject will be prompted with a category cue ('type of building' in this case). If the subject still cannot remember the word, the instructor will give multiple choices (church, school, hospital in this case). The subject will receive points only if they can remember the word without any cue.","Delayed Recall, Montreal Cognitive Assessment Delayed Recall Test",MCAREC3,MCAREC3,question101_101,MCAREC3,,,
MoCA - Delayed Recall (Daisy),NCIT:C162717,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with recalling the words the examiner gave earlier in the session. If the subject will be prompted with a category cue ('type of flower' in this case). If the subject still cannot remember the word, the instructor will give multiple choices (rose, daisy, tulip in this case). The subject will receive points only if they can remember the word without any cue.","Delayed Recall, Montreal Cognitive Assessment Delayed Recall Test",MCAREC4,MCAREC4,question102_102,MCAREC4,,,
MoCA - Delayed Recall (Red),NCIT:C162717,"A subtest of Montreal Cognitive Assessment (MoCA). The subject is tasked with recalling the words the examiner gave earlier in the session. If the subject will be prompted with a category cue ('a colour' in this case). If the subject still cannot remember the word, the instructor will give multiple choices (red, blue, green in this case). The subject will receive points only if they can remember the word without any cue.","Delayed Recall, Montreal Cognitive Assessment Delayed Recall Test",MCAREC5,MCAREC5,question103_103,MCAREC5,,,
MoCA - Orientation (Date),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the date of today."".","Montreal Cognitive Assessment Orientation Test, Orientation",MCADATE,MCADATE,question105_105,MCADATE,,,
MoCA - Orientation (Day),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the day."".","Montreal Cognitive Assessment Orientation Test, Orientation",MCADAY,MCADAY,question108_108,MCADAY,,,
MoCA - Orientation (Month),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the month."".","Montreal Cognitive Assessment Orientation Test, Orientation",MCAMONTH,MCAMONTH,question106_106,MCAMONTH,,,
MoCA - Orientation (Year),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the year."".","Montreal Cognitive Assessment Orientation Test, Orientation",MCAYR,MCAYR,question107_107,MCAYR,,,
MoCA - Orientation (Place),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the name of this place"".","Montreal Cognitive Assessment Orientation Test, Orientation",MCAPLACE,MCAPLACE,question109_109,MCAPLACE,,,
MoCA - Orientation (City),NCIT:C162718,"A subtest of Montreal Cognitive Assessment (MoCA). The subject will receive one point for each correct answer to the examiner's instruction. In this case, ""Tell me the name of this city"".","Montreal Cognitive Assessment Orientation Test, Orientation",MCACITY,MCACITY,question110_110,MCACITY,,,
Trail Making Test (TMT) A,NCIT:C92205,"A neuropsychological test of visual attention and task switching that requires a subject to connect a sequence of 25 consecutive targets. It provides an easy to administer and reliable assessment of attention, sequencing, cognition, visual search, and motor function.","TMT, TMT01, Trail Making Test",TMTASEC,,tmt_score,MCAALTTM,,,4165596.0
Trail Making Test (TMT) B,NCIT:C166336,Huntington's Disease Cognitive Assessment Battery (HD-CAB) Trail Making Test-B key variable for composite score: Time to completion (sec) of TMT Part B with upper time limit of 240 seconds (reverse scored).,"HD-CAB - Trail Making Test-B, HDCAB1-Trail Making Test-B, HDCAB106",TMTBSEC,,tmt_b_score,MCAALTTM,,,4165596.0
Montreal Cognitive Assessment (MoCA),NCIT:C123667,"A standardized rating scale developed by Ziad Nasreddine in 1996 to screen for mild cognitive dysfunction and impairment. This instrument assesses the following cognitive domains: attention and concentration, executive functions, memory, language, visuoconstructional skills, conceptual thinking, calculations, and orientation.","MOCA, MOCA01, Montreal Cognitive Assessment, Montreal Cognitive Assessment Functional Test",MCATOT,MCATOT,cert_moca_score,MCATOT,MOCA_total,,43054915.0
Mini-Mental Status Exam (MMSE),NCIT:C74982,"A standardized and structured interview originally developed by Marshal Folstein, Susan Folstein and Paul McHugh (Journal of Psychiatric Research, 1975), which is used to evaluate an individual's cognitive function.","Mini-Mental Status Exam, Folstein Mini-Mental Status Exam, Mini-Mental State Examination Questionnaire, MMSE, MMS1",,,,,,mmse_total,1011936.0
GDS-SF - Basically Satisfied With Life,NCIT:C106794,"Geriatric Depression Scale, Short Form (GDS-SF) Are you basically satisfied with your life?","GDS02-Satisfied With Life, GDS0201, GDS-SF - Basically Satisfied With Life",GDSSATIS,,gdsl_1,GDSSATIS,,,3048479.0
GDS-SF - Dropped Activities and Interests,NCIT:C106795,"Geriatric Depression Scale, Short Form (GDS-SF) Have you dropped many of your activities and interests?","GDS02-Dropped Activities and Interests, GDS-SF - Dropped Activities and Interests, GDS0202",GDSDROPD,,gdsl_2,GDSDROPD,,,3049765.0
GDS-SF - Feel Life Is Empty,NCIT:C106796,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel that your life is empty?","GDS02-Life Is Empty, GDS-SF - Feel Life Is Empty, GDS0203",GDSEMPTY,,gdsl_3,GDSEMPTY,,,3052362.0
GDS-SF - Often Get Bored,NCIT:C106797,"Geriatric Depression Scale, Short Form (GDS-SF) Do you often get bored?","GDS02-Bored Often, GDS-SF - Often Get Bored, GDS0204",GDSBORED,,gdsl_4,GDSBORED,,,3048797.0
GDS-SF - Good Spirits Most of Time,NCIT:C106798,"Geriatric Depression Scale, Short Form (GDS-SF) Are you in good spirits most of the time?","GDS02-Good Spirits Most of Time, GDS-SF - Good Spirits Most of Time, GDS0205",GDSGSPIR,,gdsl_7,GDSGSPIR,,,3049130.0
GDS-SF - Afraid of Something Bad Happening,NCIT:C106799,"Geriatric Depression Scale, Short Form (GDS-SF) Are you afraid that something bad is going to happen to you?","GDS02-Afraid of Something Bad Happening, GDS-SF - Afraid of Something Bad Happening, GDS0206",GDSAFRAD,,gdsl_8,GDSAFRAD,,,3052621.0
GDS-SF - Feel Happy Most of Time,NCIT:C106800,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel happy most of the time?","GDS02-Feel Happy Most of Time, GDS-SF - Feel Happy Most of Time, GDS0207",GDSHAPPY,,gdsl_9,GDSHAPPY,,,3048472.0
GDS-SF - Often Feel Helpless,NCIT:C106801,"Geriatric Depression Scale, Short Form (GDS-SF) Do you often feel helpless?","GDS02-Often Feel Helpless, GDS0208, GDS-SF - Often Feel Helpless",GDSHLPLS,,gdsl_10,GDSHLPLS,,,3051362.0
GDS-SF - Prefer to Stay Home,NCIT:C106802,"Geriatric Depression Scale, Short Form (GDS-SF) Do you prefer to stay at home, rather than going out and doing new things?","GDS02-Prefer to Stay Home, GDS-SF - Prefer to Stay Home, GDS0209",GDSHOME,,gdsl_12,GDSHOME,,,3049156.0
GDS-SF - More Memory Problems Than Most,NCIT:C106803,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel you have more problems with memory than most?","GDS02-Memory Problems, GDS0210, GDS-SF - More Memory Problems Than Most",GDSMEMRY,,gdsl_14,GDSMEMRY,,,3052630.0
GDS-SF - Think Wonderful to Be Alive,NCIT:C106804,"Geriatric Depression Scale, Short Form (GDS-SF) Do you think it is wonderful to be alive now?","GDS02-Wonderful to Be Alive, GDS0211, GDS-SF - Think Wonderful to Be Alive",GDSALIVE,,gdsl_15,GDSALIVE,,,3051716.0
GDS-SF - Feel Worthless,NCIT:C106805,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel pretty worthless the way you are now?","GDS02-Feel Worthless, GDS-SF - Feel Worthless, GDS0212",GDSWRTLS,,gdsl_17,GDSWRTLS,,,3051419.0
GDS-SF - Feel Full of Energy,NCIT:C106806,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel full of energy?","GDS0213, GDS-SF - Feel Full of Energy, GDS02-Feel Full of Energy",GDSENRGY,,gdsl_21,GDSENRGY,,,3050101.0
GDS-SF - Feel Situation is Hopeless,NCIT:C106807,"Geriatric Depression Scale, Short Form (GDS-SF) Do you feel that your situation is hopeless?","GDS0214, GDS02-Feel Hopeless, GDS-SF - Feel Situation is Hopeless",GDSHOPLS,,gdsl_22,GDSHOPLS,,,3048841.0
GDS-SF - Think Most People Better Off Than You,NCIT:C106808,"Geriatric Depression Scale, Short Form (GDS-SF) Do you think that most people are better off than you are?","GDS0215, GDS02-Most People Better Off Than You, GDS-SF - Think Most People Better Off Than You",GDSBETER,,gdsl_23,GDSBETER,,,3053256.0
Geriatric Depression Scale Short Form Questionnaire,NCIT:C106698,"A standardized rating scale developed by Sheikh et al in 1986, which is a shorter version derived from the original GDS and used to identify depression in older adults. The questionnaire contains 15 items. All questions are answered 'yes' or 'no'.","Geriatric Depression Scale Short Form Questionnaire, GDS-SF, GDS02, GDS SHORT FORM",No total score.,,gdsl_score_short,GDS15SCORE,,,3052906.0
"FAQ - Write checks, Pay bills, Balance checkbook",NCIT:C111499,"Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","FAQ01-Write Checks/Pay Bills/Checkbook, FAQ0101, FAQ - Write checks, Pay bills, Balance checkbook",,,faq_q1,,,,
FAQ - Assemble,NCIT:C111500,"Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","FAQ - Assemble, FAQ0102, FAQ01-Assembling",,,faq_q2,,,,
FAQ - Shop Alone,NCIT:C111501,"Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","FAQ0103, FAQ01-Shopping Alone, FAQ - Shop Alone",,,faq_q3,,,,
"FAQ - Play Game of Skill, Work on Hobby",NCIT:C111502,"Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","FAQ01-Playing a Game of Skill, FAQ - Play Game of Skill, Work on Hobby, FAQ0104",,,faq_q4,,,,
"FAQ - Heat water, Make Coffee, Turn Off Stove",NCIT:C111503,"Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","FAQ01-Heat Water/Make Coffee/Stove Off, FAQ0105, FAQ - Heat water, Make Coffee, Turn Off Stove",,,faq_q5,,,,
FAQ - Prepare a Meal,NCIT:C111504,Functional Activities Questionnaire (FAQ) Preparing a balanced meal.,"FAQ0106, FAQ01-Preparing a Balanced Meal, FAQ - Prepare a Meal",,,faq_q6,,,,
FAQ - Keep Track of Current Events,NCIT:C111505,Functional Activities Questionnaire (FAQ) Keeping track of current events.,"FAQ01-Keeping Track of Current Events, FAQ - Keep Track of Current Events, FAQ0107",,,faq_q7,,,,
"FAQ - Pay Attention, Understand, Discuss",NCIT:C111506,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","FAQ0108, FAQ01-Paying Attention, FAQ - Pay Attention, Understand, Discuss",,,faq_q8,,,,
FAQ - Remember,NCIT:C111507,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","FAQ - Remember, FAQ01-Remembering, FAQ0109",,,faq_q9,,,,
FAQ - Travel,NCIT:C111508,"Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","FAQ - Travel, FAQ01-Traveling, FAQ0110",,,faq_q10,,,,
Functional Activities Questionnaire (FAQ),NCIT:C111509,Functional Activities Questionnaire (FAQ) Total Score.,"FAQ - Total Score, FAQ01-Total Score, FAQ0111",,,faq_score,,,,
Boston Naming Test (BNT),716614005,Tests visual confrontation naming of the subject by tasking them with naming the shown line drawings of common objects one at a time.,,MBSTNCRR,,boston_score,,,,37396710.0
Rey Complex Figure Test and Recognition Trial (RCFT),,A tool used for neuropsychological assessment.,,,,compl_score,,,,4208363.0
The State-Trait Anxiety Inventory (STAI),NCIT:C95491,"An instrument for measuring anxiety. It is designed to differentiate between temporary \state anxiety\ and general, long-standing \trait anxiety\. (Copyright Mind Garden, Inc.)",State-Trait Anxiety Inventory,No total score.,,,,,,4169477.0
Clock Drawing Test,NCIT:C157012,A test of the ability of an individual to accurately place the numbers and hands of a clock in their usual and specified positions.,Cognition Clock Test,CLCKTOT,,clock_score,,,,21492218.0
Consortium to Establish a Registry for Alzheimer's Disease,,A constructional praxis subtest from the Consortium to Establish a Registry for Alzheimer's Disease.,CERAD,,,cerad_score,,,,3168054.0
ESS - Sitting and Reading,NCIT:C103536,Epworth Sleepiness Scale (ESS) Sitting and reading.,"ESS - Sitting and Reading, ESS01-Sitting and Reading, ESS0101",ESS1,,,ESS1,,,
ESS - Watching TV,NCIT:C103537,Epworth Sleepiness Scale (ESS) Watching TV.,"ESS0102, ESS - Watching TV, ESS01-Watching TV",ESS2,,,ESS2,,,
"ESS - Sitting, Inactive in a Public Place",NCIT:C103538,"Epworth Sleepiness Scale (ESS) Sitting, inactive in a public place (e.g. a theatre or a meeting).","ESS - Sitting, Inactive in a Public Place, ESS0103, ESS01-Sitting Inactive in a Public Place",ESS3,,,ESS3,,,
ESS - As a Passenger in a Car for an Hour Without a Break,NCIT:C103539,Epworth Sleepiness Scale (ESS) As a passenger in a car for an hour without a break.,"ESS - As a Passenger in a Car for an Hour Without a Break, ESS01-Passenger for Hour Without Break, ESS0104",ESS4,,,ESS4,,,
ESS - Lying Down to Rest in the Afternoon When Circumstances Permit,NCIT:C103540,Epworth Sleepiness Scale (ESS) Lying down to rest in the afternoon when circumstances permit.,"ESS01-Lying Down to Rest In Afternoon, ESS - Lying Down to Rest in the Afternoon When Circumstances Permit, ESS0105",ESS5,,,ESS5,,,
ESS - Sitting and Talking to Someone,NCIT:C103541,Epworth Sleepiness Scale (ESS) Sitting and talking to someone.,"ESS0106, ESS01-Sitting and Talking to Someone, ESS - Sitting and Talking to Someone",ESS6,,,ESS6,,,
ESS - Sitting Quietly After a Lunch without Alcohol,NCIT:C103542,Epworth Sleepiness Scale (ESS) Sitting quietly after a lunch without alcohol.,"ESS01-Sitting Quietly After Lunch, ESS - Sitting Quietly After a Lunch without Alcohol, ESS0107",ESS7,,,ESS7,,,
"ESS - In a car, While Stopped for a Few Minutes in the Traffic",NCIT:C103543,"Epworth Sleepiness Scale (ESS) In a car, while stopped for a few minutes in the traffic.","ESS - In a car, While Stopped for a Few Minutes in the Traffic, ESS01-In Car Stopped Few Minutes Traffic, ESS0108",ESS8,,,ESS8,,,
Epworth Sleepiness Scale,NCIT:C103517,A short test to measure daytime sleepiness.,"ESS, Epworth Sleepiness Scale Questionnaire, Epworth Sleepiness Scale, ESS01",No total score.,,,No total score.,ESS_total,,35621958.0
Cognitive T score,,"T-scores can be interpreted as how an individual’s score on each cognitive measure compares to the average score of participants of the same sex and age, and with the same educational background",,COGCAT,,,,,,
IDEA - Bridge Description,,"Identification and Intervention for Dementia in Elderly Africans (IDEA) - I will tell you the name of something and I want you to describe what it is. What is a bridge? Correct answer: something that goes across a river, canyon or road.",,IDEA1DESC,,,,,,
IDEA - Naming Animals,,Identification and Intervention for Dementia in Elderly Africans (IDEA) - Name as many different animals as you can in one minute.,,IDEA2NAMING,,,,,,
IDEA - Leader of the Village,,Identification and Intervention for Dementia in Elderly Africans (IDEA) - Who is the chief/head/leader of this village ?,,IDEA3LEADER,,,,,,
IDEA - Day of Week,,Identification and Intervention for Dementia in Elderly Africans (IDEA) - What day of the week it is?,,IDEA4DAY,,,,,,
IDEA - Ten Words,,Identification and Intervention for Dementia in Elderly Africans (IDEA) - Recall the ten words we learned earlier.,,IDEA5WORDS,,,,,,
IDEA - Matchsticks,,Identification and Intervention for Dementia in Elderly Africans (IDEA) - Make the design shown below using these four matchsticks.,,IDEA6CORRECT,,,,,,
Identification and Intervention for Dementia in Elderly Africans (IDEA),,Cognitive screen for use in populations with low levels of formal education,,IDEATOTAL,,,,,,
Lexical Fluency,,"Lexical fluency tests, also called letter fluency or phonetic fluency tests, they retrieve as many phonologically related words as possible starting with a specific letter.",,No total score.,,fab_q2,,,,
Frontal Assessment Battery (FAB),443124006,The FAB is a brief battery of neuropsychological tasks designed to assess frontal lobe function and screens for frontotemporal dementia.,,,,fab_score,,,,40488792.0
Benton Judgement of Line Orientation,,The Benton Judgment of Line Orientation Test (BJLOT) is a widely used neuropsychological test measuring visuospatial judgment.,,JLO_TOTCALC,,bentons_score,,,,
Letter-Number Sequencing (LNS),,"The Letter-Number Sequencing task is a WMC measure included as part of the WAIS-III and WAIS-IV test batteries. The task involves hearing a series of letters and digits, and then reporting back the stimuli with the letters in alphabetical order, and digits in ascending numerical order.",,LNS_TOTRAW,,,,,,
Modified Schwab & England Activities of Daily Living,NCIT:C100944,Unified Parkinson's Disease Rating Scale (UPDRS) Schwab and England Activities of Daily Living Scale.,UPDRS - Schwab and England Activities of Daily Living Scale,MSEADLG,MSEADLG,s_and_e_percent,MSEADLG,Schwab_england,schwab_england_scale,1013904.0
AD Severity Score,,,,AD_SEVERITY_SCORE,,,,,,
Aging-related tau Astrogliopathy (ARTAG) Severity,,,,ARTAG_SEVERITY,,,,,,
The National Institute on Aging in collaboration with the Alzheimer’s Association (NIA-AA) A Score,,Thal Phases of Aβ deposition,,NIA_AA_A_SCORE,,,,,,
The National Institute on Aging in collaboration with the Alzheimer’s Association (NIA-AA) B Score,,Braak staging for neurofibrillary degeneration,,NIA_AA_B_SCORE,,,,,,
The National Institute on Aging in collaboration with the Alzheimer’s Association (NIA-AA) C Score,,CERAD neuritic plaque score,,NIA_AA_C_SCORE,,,,,,
Neuro-QoL Cognition Function - Question 1,NCIT:C137844,"How much difficulty do you currently have reading and following complex instructions, like directions for a new medication?","Current Difficulty Reading and Following Complex Instructions, How much DIFFICULTY do you currently have reading and following complex instructions (e.g., directions for a new medication)",NQCOG22R,,,,,,40770551.0
Neuro-QoL Cognition Function - Question 2,NCIT:C137845,"How much difficulty do you currently have planning for and keeping appointments that are not part of your weekly routine, like a therapy or doctor appointment, or a social gathering with friends and family?","Current Difficulty Planning and Keeping Appointments Not Part of Weekly Routine, How much DIFFICULTY do you currently have planning for and keeping appointments that are not part of your weekly routine, (e.g., a therapy or doctor appointment, or a social gathering with friends and family)",NQCOG24R,,,,,,40770552.0
Neuro-QoL Cognition Function - Question 3,NCIT:C137846,How much difficulty do you currently have managing your time to do most of your daily activities?,"How much DIFFICULTY do you currently have managing your time to do most of your daily activities, Current Difficulty Managing Time to do Most Daily Activities",NQCOG25R,,,,,,40770553.0
Neuro-QoL Cognition Function - Question 4,NCIT:C137847,How much difficulty do you currently have learning new tasks or instructions?,"How much DIFFICULTY do you currently have learning new tasks or instructions, Current Difficulty Learning New Tasks or Instructions",NQCOG40R,,,,,,40770556.0
Neuro-QoL Communication - Question 1,,"How much difficulty do you currently have writing notes to yourself, such as appointments or to do lists?",,NQCOG01,,,,,,40770714.0
Neuro-QoL Communication - Question 2,,How much difficulty do you currently have understanding family and friends on the phone?,,NQCOG04,,,,,,40770715.0
Neuro-QoL Communication - Question 3,,"How much difficulty do you currently have carrying on a conversation with a small group of familiar people, like family or a few friends?",,NQCOG08,,,,,,40770716.0
Neuro-QoL Communication - Question 4,,How much difficulty do you currently have organizing what you want to say?,,NQCOG10,,,,,,40770717.0
Neuro-QoL Communication - Question 5,,How much difficulty do you currently have speaking clearly enough to use the telephone?,,NQCOG11,,,,,,40770718.0
Neuro-QoL Lower Extremity Function - Question 1,,Are you able to push open a heavy door?,,NQMOB25,,,,,,40764359.0
Neuro-QoL Lower Extremity Function - Question 2,NCIT:C121239,Are you able to get in and out of a car?,"Ability to Get In and Out of a Car, Getting in and out of a car",NQMOB26,,,,,,40764399.0
Neuro-QoL Lower Extremity Function - Question 3,NCIT:C121689,Are you able to go for a walk of at least 15 minutes?,"Are you able to go for a walk of at least 15 minutes, Ability to Walk for at least Fifteen Minutes, Able to Walk for Fifteen Minutes, Ability to Walk for Fifteen Minutes, Able to Walk for at least Fifteen Minutes",NQMOB28,,,,,,40764370.0
Neuro-QoL Lower Extremity Function - Question 4,,Are you able to step up and down curbs?,,NQMOB30,,,,,,40764374.0
Neuro-QoL Lower Extremity Function - Question 5,,Are you able to get up off the floor from lying on your back without help?,,NQMOB31,,,,,,40764375.0
